Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
WeeWiki,mcrae-single,es,material-attributes,with,window,118,3,0.7542735042735043,0.031548767222720916
WeeWiki,mcrae-single,es,material-attributes,without,window,118,3,0.736965811965812,0.049764769186376026
WeeWiki,mcrae-single,es,size-and-shape-attributes,with,window,416,4,0.749973933896361,0.009658959923276865
WeeWiki,mcrae-single,es,size-and-shape-attributes,without,window,416,4,0.7763875855837069,0.021789073034777978
WeeWiki,mcrae-single,es,tactile-attributes,with,window,196,6,0.7652680652680653,0.008201683956064893
WeeWiki,mcrae-single,es,tactile-attributes,without,window,196,6,0.7498834498834498,0.02986777241688381
ES1B,mcrae-single,es,colour-attributes,with,sentence,260,6,0.8114140604116548,0.022870868891625807
ES1B,mcrae-single,es,colour-attributes,without,sentence,260,6,0.8153791321393568,0.02817309576180903
ES1B,mcrae-single,es,component-attributes,with,sentence,200,6,0.8849690939243179,0.007498766841818736
ES1B,mcrae-single,es,component-attributes,without,sentence,200,6,0.8698929594451984,0.028691432681362154
ES1B,mcrae-single,es,material-attributes,with,sentence,258,4,0.810077519379845,0.053986001074357096
ES1B,mcrae-single,es,material-attributes,without,sentence,258,4,0.8217054263565892,0.023893077530887506
ES1B,mcrae-single,es,size-and-shape-attributes,with,sentence,426,4,0.8192488262910799,0.011969529374630986
ES1B,mcrae-single,es,size-and-shape-attributes,without,sentence,426,4,0.8145539906103286,0.01196952937463097
ES1B,mcrae-single,es,tactile-attributes,with,sentence,202,6,0.7230757974831724,0.060817652668447915
ES1B,mcrae-single,es,tactile-attributes,without,sentence,202,6,0.7130523851331577,0.03554094306573878
ES1B,mcrae-single,es,colour-attributes,with,syntactic,260,6,0.8113695090439276,0.031413990455719125
ES1B,mcrae-single,es,colour-attributes,without,syntactic,260,6,0.7999198075380914,0.015471965858527956
ES1B,mcrae-single,es,component-attributes,with,syntactic,200,6,0.8100407055630936,0.025043633107023282
ES1B,mcrae-single,es,component-attributes,without,syntactic,200,6,0.7951153324287653,0.02449860255802959
ES1B,mcrae-single,es,material-attributes,with,syntactic,258,4,0.8449612403100776,0.04281147681080337
ES1B,mcrae-single,es,material-attributes,without,syntactic,258,4,0.8449612403100776,0.06735715967822781
ES1B,mcrae-single,es,size-and-shape-attributes,with,syntactic,426,4,0.755868544600939,0.017566466604572478
ES1B,mcrae-single,es,size-and-shape-attributes,without,syntactic,426,4,0.73943661971831,0.005749975922026277
ES1B,mcrae-single,es,tactile-attributes,with,syntactic,202,6,0.8069944395668714,0.010955988614184925
ES1B,mcrae-single,es,tactile-attributes,without,syntactic,202,6,0.7774363476733978,0.03495903203171996
ES1B,mcrae-single,es,colour-attributes,with,window,260,6,0.8499509934955003,0.03406079537277956
ES1B,mcrae-single,es,colour-attributes,without,window,260,6,0.834625322997416,0.014195606653691031
ES1B,mcrae-single,es,component-attributes,with,window,200,6,0.8298658224031358,0.026348106095187143
ES1B,mcrae-single,es,component-attributes,without,window,200,6,0.8049902005125885,0.012265063168874808
ES1B,mcrae-single,es,material-attributes,with,window,258,4,0.8604651162790699,0.03423163126483658
ES1B,mcrae-single,es,material-attributes,without,window,258,4,0.8643410852713179,0.005481447916174797
ES1B,mcrae-single,es,size-and-shape-attributes,with,window,426,4,0.7535211267605635,0.0
ES1B,mcrae-single,es,size-and-shape-attributes,without,window,426,4,0.7300469483568076,0.0132790005856629
ES1B,mcrae-single,es,tactile-attributes,with,window,202,6,0.7525607257828506,0.03854436998383906
ES1B,mcrae-single,es,tactile-attributes,without,window,202,6,0.7921422300263389,0.031768336756901265
