Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
UMBC,norms-single,en,component-attributes,without,syntactic,35,2,0.8863636363636364,0.03762541521654376
UMBC,norms-single,en,material-attributes,with,syntactic,93,5,0.8709677419354839,0.05267719876953072
UMBC,norms-single,en,material-attributes,without,syntactic,93,5,0.8817204301075269,0.04023287512660149
UMBC,norms-single,en,size-and-shape-attributes,with,syntactic,242,4,0.6114197530864197,0.03972019573331841
UMBC,norms-single,en,size-and-shape-attributes,without,syntactic,242,4,0.5783436213991769,0.03259945382845335
UMBC,norms-single,en,tactile-attributes,with,syntactic,106,6,0.6984126984126983,0.032374727070430404
UMBC,norms-single,en,tactile-attributes,without,syntactic,106,6,0.6605820105820106,0.06030469557682871
UMBC,norms-single,en,color-attributes,with,window,133,5,0.41430976430976435,0.08647071682227028
UMBC,norms-single,en,color-attributes,without,window,133,5,0.41414141414141414,0.1251465827612512
UMBC,norms-single,en,component-attributes,with,window,35,2,0.8863636363636364,0.03762541521654376
UMBC,norms-single,en,component-attributes,without,window,35,2,0.8863636363636364,0.03762541521654376
UMBC,norms-single,en,material-attributes,with,window,93,5,0.8709677419354839,0.02633859938476533
UMBC,norms-single,en,material-attributes,without,window,93,5,0.8494623655913979,0.054828166812825645
UMBC,norms-single,en,size-and-shape-attributes,with,window,242,4,0.5824074074074074,0.0477793993833761
UMBC,norms-single,en,size-and-shape-attributes,without,window,242,4,0.5989197530864198,0.059261804429224844
UMBC,norms-single,en,tactile-attributes,with,window,106,6,0.6801587301587303,0.08993853056068617
UMBC,norms-single,en,tactile-attributes,without,window,106,6,0.6605820105820106,0.06030469557682871
Wiki,mcrae-single,es,colour-attributes,with,sentence,136,7,0.3236714975845411,0.02271387785185888
Wiki,mcrae-single,es,colour-attributes,without,sentence,136,7,0.2863123993558776,0.0513099173830514
Wiki,mcrae-single,es,component-attributes,with,sentence,99,6,0.7070707070707071,0.028569970957032252
Wiki,mcrae-single,es,component-attributes,without,sentence,99,6,0.7474747474747475,0.07558903811664534
Wiki,mcrae-single,es,material-attributes,with,sentence,129,4,0.627906976744186,0.03288868749704873
Wiki,mcrae-single,es,material-attributes,without,sentence,129,4,0.6356589147286822,0.010962895832349594
Wiki,mcrae-single,es,size-and-shape-attributes,with,sentence,210,4,0.5238095238095238,0.06424160744396212
Wiki,mcrae-single,es,size-and-shape-attributes,without,sentence,210,4,0.4904761904761905,0.00673435029701474
Wiki,mcrae-single,es,tactile-attributes,with,sentence,99,6,0.5959595959595959,0.051505247612048326
Wiki,mcrae-single,es,tactile-attributes,without,sentence,99,6,0.5757575757575758,0.08570991287109671
Wiki,mcrae-single,es,colour-attributes,with,syntactic,136,7,0.35297906602254425,0.01850661242970518
Wiki,mcrae-single,es,colour-attributes,without,syntactic,136,7,0.3310789049919485,0.020966158838982018
Wiki,mcrae-single,es,component-attributes,with,syntactic,99,6,0.7171717171717171,0.0142849854785161
Wiki,mcrae-single,es,component-attributes,without,syntactic,99,6,0.7373737373737373,0.0377945190583226
Wiki,mcrae-single,es,material-attributes,with,syntactic,129,4,0.6124031007751938,0.021925791664699136
Wiki,mcrae-single,es,material-attributes,without,syntactic,129,4,0.6589147286821705,0.047786155061775006
Wiki,mcrae-single,es,size-and-shape-attributes,with,syntactic,211,4,0.4929577464788732,0.03638236475588154
Wiki,mcrae-single,es,size-and-shape-attributes,without,syntactic,211,4,0.5026156941649899,0.03851564252253712
Wiki,mcrae-single,es,tactile-attributes,with,syntactic,99,6,0.5959595959595959,0.051505247612048326
Wiki,mcrae-single,es,tactile-attributes,without,syntactic,99,6,0.5858585858585859,0.10301049522409668
Wiki,mcrae-single,es,colour-attributes,with,window,136,7,0.33832528180354265,0.02855921994019368
Wiki,mcrae-single,es,colour-attributes,without,window,136,7,0.3235104669887279,0.00925330621485258
Wiki,mcrae-single,es,component-attributes,with,window,99,6,0.6969696969696969,0.024742320634173542
Wiki,mcrae-single,es,component-attributes,without,window,99,6,0.7474747474747475,0.05150524761204833
Wiki,mcrae-single,es,material-attributes,with,window,129,4,0.6976744186046511,0.05023829998765778
Wiki,mcrae-single,es,material-attributes,without,window,129,4,0.627906976744186,0.0
Wiki,mcrae-single,es,size-and-shape-attributes,with,window,210,4,0.49047619047619045,0.03749527559053242
Wiki,mcrae-single,es,size-and-shape-attributes,without,window,210,4,0.48571428571428577,0.07648751621051908
Wiki,mcrae-single,es,tactile-attributes,with,window,99,6,0.5959595959595959,0.09367291409591623
Wiki,mcrae-single,es,tactile-attributes,without,window,99,6,0.6161616161616162,0.05713994191406445
WeeWiki,mcrae-single,es,colour-attributes,with,sentence,135,7,0.3111111111111111,0.03142696805273544
WeeWiki,mcrae-single,es,colour-attributes,without,sentence,135,7,0.3185185185185185,0.020951312035156967
WeeWiki,mcrae-single,es,component-attributes,with,sentence,99,6,0.7272727272727272,0.024742320634173493
WeeWiki,mcrae-single,es,component-attributes,without,sentence,99,6,0.7171717171717171,0.03779451905832266
WeeWiki,mcrae-single,es,material-attributes,with,sentence,128,4,0.5939461055740125,0.04191973293932344
WeeWiki,mcrae-single,es,material-attributes,without,sentence,128,4,0.5943152454780362,0.10784825196232146
WeeWiki,mcrae-single,es,size-and-shape-attributes,with,sentence,208,4,0.4663216011042098,0.08291166516624796
WeeWiki,mcrae-single,es,size-and-shape-attributes,without,sentence,208,4,0.4761214630779848,0.03336710835684146
WeeWiki,mcrae-single,es,tactile-attributes,with,sentence,98,6,0.5104166666666666,0.06358580092021678
WeeWiki,mcrae-single,es,tactile-attributes,without,sentence,98,6,0.49936868686868685,0.07576283651767778
WeeWiki,mcrae-single,es,colour-attributes,with,syntactic,136,7,0.30869565217391304,0.015281795058445487
WeeWiki,mcrae-single,es,colour-attributes,without,syntactic,136,7,0.293719806763285,0.05273155797203472
WeeWiki,mcrae-single,es,component-attributes,with,syntactic,99,6,0.7070707070707071,0.0142849854785161
WeeWiki,mcrae-single,es,component-attributes,without,syntactic,99,6,0.7070707070707071,0.0142849854785161
WeeWiki,mcrae-single,es,material-attributes,with,syntactic,128,4,0.6253229974160206,0.09934047951804179
WeeWiki,mcrae-single,es,material-attributes,without,syntactic,128,4,0.5858250276854927,0.08605157111877039
WeeWiki,mcrae-single,es,size-and-shape-attributes,with,syntactic,209,4,0.46404416839199447,0.04781139576202031
WeeWiki,mcrae-single,es,size-and-shape-attributes,without,syntactic,209,4,0.5262249827467219,0.03210037192424493
WeeWiki,mcrae-single,es,tactile-attributes,with,syntactic,98,6,0.48926767676767674,0.044182899512431026
WeeWiki,mcrae-single,es,tactile-attributes,without,syntactic,98,6,0.47853535353535354,0.09584323088054719
WeeWiki,mcrae-single,es,colour-attributes,with,window,135,7,0.2962962962962963,0.03777051491550211
WeeWiki,mcrae-single,es,colour-attributes,without,window,135,7,0.3111111111111111,0.03628873693012116
WeeWiki,mcrae-single,es,component-attributes,with,window,99,6,0.7070707070707071,0.037794519058322644
WeeWiki,mcrae-single,es,component-attributes,without,window,99,6,0.6565656565656566,0.05713994191406445
WeeWiki,mcrae-single,es,material-attributes,with,window,128,4,0.5861941675895165,0.08854896132640418
WeeWiki,mcrae-single,es,material-attributes,without,window,128,4,0.6098191214470284,0.06971957397019142
WeeWiki,mcrae-single,es,size-and-shape-attributes,with,window,208,4,0.49047619047619045,0.043551484562697466
WeeWiki,mcrae-single,es,size-and-shape-attributes,without,window,208,4,0.48074534161490684,0.05927065318608684
WeeWiki,mcrae-single,es,tactile-attributes,with,window,98,6,0.5198863636363636,0.061287792947961515
WeeWiki,mcrae-single,es,tactile-attributes,without,window,98,6,0.51010101010101,0.04999744917480641
ES1B,mcrae-single,es,colour-attributes,with,sentence,139,7,0.2949429540548874,0.07990151966684297
ES1B,mcrae-single,es,colour-attributes,without,sentence,139,7,0.3020351526364477,0.06329236996074351
ES1B,mcrae-single,es,component-attributes,with,sentence,100,6,0.770053475935829,0.012936150360711352
ES1B,mcrae-single,es,component-attributes,without,sentence,100,6,0.7094474153297683,0.0538902547516256
ES1B,mcrae-single,es,material-attributes,with,sentence,129,4,0.627906976744186,0.037976585159429095
ES1B,mcrae-single,es,material-attributes,without,sentence,129,4,0.6666666666666666,0.0580101920430068
ES1B,mcrae-single,es,size-and-shape-attributes,with,sentence,213,4,0.5023474178403756,0.017566466604572496
ES1B,mcrae-single,es,size-and-shape-attributes,without,sentence,213,4,0.5164319248826291,0.01756646660457247
ES1B,mcrae-single,es,tactile-attributes,with,sentence,101,6,0.5442661913250149,0.03163121011100694
ES1B,mcrae-single,es,tactile-attributes,without,sentence,101,6,0.5837789661319074,0.029640444114645108
ES1B,mcrae-single,es,colour-attributes,with,syntactic,139,7,0.33117483811285847,0.07480298094384856
ES1B,mcrae-single,es,colour-attributes,without,syntactic,139,7,0.2950971322849214,0.013082456636198848
ES1B,mcrae-single,es,component-attributes,with,syntactic,100,6,0.7397504456327987,0.10053012382751006
ES1B,mcrae-single,es,component-attributes,without,syntactic,100,6,0.7305407011289363,0.04554087158289637
ES1B,mcrae-single,es,material-attributes,with,syntactic,129,4,0.6589147286821706,0.010962895832349542
ES1B,mcrae-single,es,material-attributes,without,syntactic,129,4,0.6666666666666666,0.0580101920430068
ES1B,mcrae-single,es,size-and-shape-attributes,with,syntactic,213,4,0.4553990610328638,0.023939058749261895
ES1B,mcrae-single,es,size-and-shape-attributes,without,syntactic,213,4,0.4507042253521127,0.019918500878494293
ES1B,mcrae-single,es,tactile-attributes,with,syntactic,101,6,0.5543672014260249,0.0063021994758159575
ES1B,mcrae-single,es,tactile-attributes,without,syntactic,101,6,0.533868092691622,0.05736040253013936
ES1B,mcrae-single,es,colour-attributes,with,window,139,7,0.3314831945729263,0.11934251519609736
ES1B,mcrae-single,es,colour-attributes,without,window,139,7,0.3097440641381437,0.058738061178050346
ES1B,mcrae-single,es,component-attributes,with,window,100,6,0.8101604278074866,0.02721888751288507
ES1B,mcrae-single,es,component-attributes,without,window,100,6,0.7694592988710637,0.05328413481032762
ES1B,mcrae-single,es,material-attributes,with,window,129,4,0.6744186046511628,0.018988292579714548
ES1B,mcrae-single,es,material-attributes,without,window,129,4,0.6511627906976745,0.0
ES1B,mcrae-single,es,size-and-shape-attributes,with,window,213,4,0.4788732394366197,0.03983700175698859
ES1B,mcrae-single,es,size-and-shape-attributes,without,window,213,4,0.5305164319248826,0.026558001171325746
ES1B,mcrae-single,es,tactile-attributes,with,window,101,6,0.5540701128936423,0.030025055242121554
ES1B,mcrae-single,es,tactile-attributes,without,window,101,6,0.5341651812240048,0.04234110933171686
